Data Series,Total,Males,Females,Youth,Adult,Percentage of Adult/Youth
2024 Feb ,1436571,692079,744381,146316,1290255,881.827688
2024 Jan ,1436411,685466,750857,141869,1294542,912.4911009
2023 Dec ,1239776,602554,637172,148031,1091745,737.5110619
2023 Nov ,1100466,556614,543831,67096,1033370,1540.136521
2023 Oct ,1125964,563225,562723,90349,1035615,1146.238475
2023 Sep ,1130762,576699,554054,76550,1054212,1377.154801
2023 Aug ,1312693,634882,677793,169313,1143380,675.3054993
2023 Jul ,1419642,681780,737855,213900,1205742,563.6942496
2023 Jun ,1129310,548258,581045,127133,1002177,788.2902158
2023 May ,1112512,545031,567474,86537,1025975,1185.591134
2023 Apr ,1128610,556456,572144,130720,997890,763.379743
2023 Mar ,1021040,515067,505964,74447,946593,1271.499187
2023 Feb ,957844,483745,474086,65721,892123,1357.439783
2023 Jan ,931814,464508,467297,98848,832966,842.6735999
2022 Dec ,931337,457823,473507,123734,807603,652.6928734
2022 Nov ,816340,428447,387885,48421,767919,1585.921398
2022 Oct ,816833,423112,393712,63829,753004,1179.720817
2022 Sep ,782215,419664,362542,50827,731388,1438.975348
2022 Aug ,728744,375963,352779,64064,664680,1037.524975
2022 Jul ,726739,371596,355136,78914,647825,820.9253111
2022 Jun ,543733,280284,263439,54166,489567,903.827124
2022 May ,418458,223467,194989,32467,385991,1188.871777
2022 Apr ,295095,160563,134525,25859,269236,1041.169419
2022 Mar ,121207,73672,47532,6479,114728,1770.767094
2022 Feb ,67765,40068,27679,3305,64460,1950.378215
2022 Jan ,57174,32605,24546,3053,54121,1772.715362
2021 Dec ,92796,54718,38070,5973,86823,1453.59116
2021 Nov ,41179,24371,16804,2017,39162,1941.59643
2021 Oct ,24006,14698,9307,1283,22723,1771.083398
2021 Sep ,19009,11615,7392,1178,17831,1513.667233
2021 Aug ,15887,8816,7071,1320,14567,1103.560606
2021 Jul ,18517,10440,8077,1239,17278,1394.511703
2021 Jun ,10029,5801,4228,457,9572,2094.52954
2021 May ,14190,7306,6884,459,13731,2991.503268
2021 Apr ,25737,14629,11108,1176,24561,2088.520408
2021 Mar ,27202,16400,10802,1179,26023,2207.2095
2021 Feb ,18141,10399,7742,988,17153,1736.133603
2021 Jan ,23366,12564,10802,1410,21956,1557.163121
2020 Dec ,24170,11051,13119,2089,22081,1057.012925
2020 Nov ,14749,6846,7903,1009,13740,1361.744301
2020 Oct ,13399,6349,7050,826,12573,1522.154964
2020 Sep ,9500,4776,4724,736,8764,1190.76087
2020 Aug ,8912,4503,4409,943,7969,845.068929
2020 Jul ,6843,3560,3283,1017,5826,572.8613569
2020 Jun ,2171,1160,1011,239,1932,808.3682008
2020 May ,880,724,156,32,848,2650
2020 Apr ,750,548,202,33,717,2172.727273
2020 Mar ,240001,127278,112723,10462,229539,2194.025999
2020 Feb ,732966,379392,353574,39303,693663,1764.911075
2020 Jan ,1688102,823061,865041,198131,1489971,752.0130621
2019 Dec ,1724961,832900,892061,202226,1522735,752.9867574
2019 Nov ,1533668,771855,761813,86838,1446830,1666.125429
2019 Oct ,1530479,752944,777535,122619,1407860,1148.158116
2019 Sep ,1463543,736666,726877,88920,1374623,1545.909807
2019 Aug ,1736102,829257,906845,241351,1494751,619.3266239
2019 Jul ,1802593,872671,929922,262823,1539770,585.8581631
2019 Jun ,1551847,753322,798525,175067,1376780,786.4303381
2019 May ,1487791,723317,764474,126558,1361233,1075.580366
2019 Apr ,1596724,774028,822696,158899,1437825,904.8672427
2019 Mar ,1564664,769428,795236,101953,1462711,1434.691475
2019 Feb ,1499051,738732,760319,144422,1354629,937.9658224
2019 Jan ,1624593,800329,824264,173757,1450836,834.9798857
2018 Dec ,1603217,777836,825381,193722,1409495,727.5864383
2018 Nov ,1406985,715186,691799,87119,1319866,1515.015094
2018 Oct ,1467380,735013,732367,113755,1353625,1189.947695
2018 Sep ,1415149,721203,693946,89118,1326031,1487.949685
2018 Aug ,1683122,812949,870173,232589,1450533,623.6464321
2018 Jul ,1732896,845855,887041,249662,1483234,594.0968189
2018 Jun ,1544679,756632,788047,182074,1362605,748.3797797
2018 May ,1470891,719953,750938,120815,1350076,1117.473824
2018 Apr ,1544248,763068,781180,139981,1404267,1003.184004
2018 Mar ,1584406,784489,799917,116945,1467461,1254.830048
2018 Feb ,1491970,740574,751396,159863,1332107,833.2803713
2018 Jan ,1563359,775801,787558,149119,1414240,948.3969179
2017 Dec ,1569616,761379,808237,188362,1381254,733.2975866
2017 Nov ,1397330,706149,691181,75484,1321846,1751.160511
2017 Oct ,1402299,700527,701772,115209,1287090,1117.178345
2017 Sep ,1320050,665902,654148,89587,1230463,1373.483876
2017 Aug ,1559283,755946,803337,207655,1351628,650.9007729
2017 Jul ,1632135,798034,834101,233123,1399012,600.1175345
2017 Jun ,1387601,681394,706207,152882,1234719,807.6287594
