,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: International Visitor Arrivals (IVA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: International Visitor Arrivals By A) Sex And B) Age Group, Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 01/04/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE TOURISM BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
Data Series,2024 Feb ,2024 Jan ,2023 Dec ,2023 Nov ,2023 Oct ,2023 Sep ,2023 Aug ,2023 Jul ,2023 Jun ,2023 May ,2023 Apr ,2023 Mar ,2023 Feb ,2023 Jan ,2022 Dec ,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan ,2016 Dec ,2016 Nov ,2016 Oct ,2016 Sep ,2016 Aug ,2016 Jul ,2016 Jun ,2016 May ,2016 Apr ,2016 Mar ,2016 Feb ,2016 Jan ,2015 Dec ,2015 Nov ,2015 Oct ,2015 Sep ,2015 Aug ,2015 Jul ,2015 Jun ,2015 May ,2015 Apr ,2015 Mar ,2015 Feb ,2015 Jan ,2014 Dec ,2014 Nov ,2014 Oct ,2014 Sep ,2014 Aug ,2014 Jul ,2014 Jun ,2014 May ,2014 Apr ,2014 Mar ,2014 Feb ,2014 Jan ,2013 Dec ,2013 Nov ,2013 Oct ,2013 Sep ,2013 Aug ,2013 Jul ,2013 Jun ,2013 May ,2013 Apr ,2013 Mar ,2013 Feb ,2013 Jan ,2012 Dec ,2012 Nov ,2012 Oct ,2012 Sep ,2012 Aug ,2012 Jul ,2012 Jun ,2012 May ,2012 Apr ,2012 Mar ,2012 Feb ,2012 Jan ,2011 Dec ,2011 Nov ,2011 Oct ,2011 Sep ,2011 Aug ,2011 Jul ,2011 Jun ,2011 May ,2011 Apr ,2011 Mar ,2011 Feb ,2011 Jan ,2010 Dec ,2010 Nov ,2010 Oct ,2010 Sep ,2010 Aug ,2010 Jul ,2010 Jun ,2010 May ,2010 Apr ,2010 Mar ,2010 Feb ,2010 Jan ,2009 Dec ,2009 Nov ,2009 Oct ,2009 Sep ,2009 Aug ,2009 Jul ,2009 Jun ,2009 May ,2009 Apr ,2009 Mar ,2009 Feb ,2009 Jan ,2008 Dec ,2008 Nov ,2008 Oct ,2008 Sep ,2008 Aug ,2008 Jul ,2008 Jun ,2008 May ,2008 Apr ,2008 Mar ,2008 Feb ,2008 Jan 
Total,1436571,1436411,1239776,1100466,1125964,1130762,1312693,1419642,1129310,1112512,1128610,1021040,957844,931814,931337,816340,816833,782215,728744,726739,543733,418458,295095,121207,67765,57174,92796,41179,24006,19009,15887,18517,10029,14190,25737,27202,18141,23366,24170,14749,13399,9500,8912,6843,2171,880,750,240001,732966,1688102,1724961,1533668,1530479,1463543,1736102,1802593,1551847,1487791,1596724,1564664,1499051,1624593,1603217,1406985,1467380,1415149,1683122,1732896,1544679,1470891,1544248,1584406,1491970,1563359,1569616,1397330,1402299,1320050,1559283,1632135,1387601,1363897,1470750,1480161,1361010,1480479,1506134,1235433,1237675,1144063,1481876,1622405,1270531,1357543,1393972,1406607,1335097,1412123,1424978,1203992,1246947,1131976,1445062,1519233,1184747,1222836,1208624,1201648,1188818,1252608,1360541,1144230,1203527,1098626,1362935,1408400,1181422,1208532,1245307,1297551,1238239,1345842,1367404,1184002,1203746,1176142,1483520,1419657,1288950,1288282,1274246,1368891,1221365,1291718,1360536,1212079,1192580,1051348,1313604,1283611,1157739,1146448,1201953,1243133,1134554,1198507,1216637,1027787,1085193,1033747,1178511,1273870,1080066,1054104,1103320,1071960,990118,1055990,1127581,964170,978913,947585,996899,1095047,951032,946676,939013,928903,857387,908495,972233,830173,844953,799496,844649,882107,750404,726391,778975,791236,689935,772138,888001,765325,849400,745794,850016,922569,822954,833604,829438,910635,813028,885290
Males,692079,685466,602554,556614,563225,576699,634882,681780,548258,545031,556456,515067,483745,464508,457823,428447,423112,419664,375963,371596,280284,223467,160563,73672,40068,32605,54718,24371,14698,11615,8816,10440,5801,7306,14629,16400,10399,12564,11051,6846,6349,4776,4503,3560,1160,724,548,127278,379392,823061,832900,771855,752944,736666,829257,872671,753322,723317,774028,769428,738732,800329,777836,715186,735013,721203,812949,845855,756632,719953,763068,784489,740574,775801,761379,706149,700527,665902,755946,798034,681394,686146,724181,740238,679253,736850,737790,641202,639419,597128,730528,793433,629918,688271,700832,710528,674006,714543,709381,634001,653060,594245,721691,755224,616339,633551,623986,640840,607141,652300,689723,618137,631458,592472,697415,710614,622431,631907,652417,679459,650550,696300,698285,634990,638692,626712,747592,725630,672466,667974,662096,715279,633301,681803,697079,649004,637353,575995,667449,663541,592137,581905,599781,626009,584219,596901,605532,544357,561283,541368,583067,630411,555336,550154,559379,557628,511367,544026,558839,508957,517606,498514,511945,551436,499518,494422,485213,488124,441164,473341,484106,444569,449502,423427,438283,458927,403955,387605,403963,416921,371497,398390,449520,417044,454584,409758,448387,483300,444397,449229,445014,473780,427013,472297
Females,744381,750857,637172,543831,562723,554054,677793,737855,581045,567474,572144,505964,474086,467297,473507,387885,393712,362542,352779,355136,263439,194989,134525,47532,27679,24546,38070,16804,9307,7392,7071,8077,4228,6884,11108,10802,7742,10802,13119,7903,7050,4724,4409,3283,1011,156,202,112723,353574,865041,892061,761813,777535,726877,906845,929922,798525,764474,822696,795236,760319,824264,825381,691799,732367,693946,870173,887041,788047,750938,781180,799917,751396,787558,808237,691181,701772,654148,803337,834101,706207,677751,746569,739923,681757,743629,768344,594230,598255,546935,751348,828972,640612,669272,693140,696076,661091,697579,715595,569989,593887,537730,723371,764009,568407,589284,584636,560805,581677,600306,670815,526090,572069,506151,665517,697781,558989,576624,592889,618092,587689,649542,669119,549012,565020,549348,735814,693924,616059,619497,611040,652561,586968,609769,663344,562908,555053,475264,645975,619358,522268,510969,545695,556197,498084,549860,559845,442463,479971,451004,548759,592837,483537,467595,504643,475032,444254,470081,513023,412570,423450,408698,448620,499723,419704,416396,413385,399250,380690,395495,441056,350101,361118,342901,377336,394749,321821,311551,344593,343014,288864,338613,392608,309320,352764,300237,362814,397249,338901,339988,337205,375731,335176,366846
Under 15 Years,146316,141869,148031,67096,90349,76550,169313,213900,127133,86537,130720,74447,65721,98848,123734,48421,63829,50827,64064,78914,54166,32467,25859,6479,3305,3053,5973,2017,1283,1178,1320,1239,457,459,1176,1179,988,1410,2089,1009,826,736,943,1017,239,32,33,10462,39303,198131,202226,86838,122619,88920,241351,262823,175067,126558,158899,101953,144422,173757,193722,87119,113755,89118,232589,249662,182074,120815,139981,116945,159863,149119,188362,75484,115209,89587,207655,233123,152882,113458,145020,95631,100786,167118,174627,67551,90736,70770,185571,237561,129230,108185,112380,104082,120253,132605,168817,69576,90059,71574,177320,219582,114518,100766,110283,81074,116407,108935,168483,63512,95111,65447,166000,198253,124916,102705,118875,84662,92866,143843,168716,73478,93547,63913,194289,183900,130289,101019,98713,98002,103164,111277,154349,72070,81524,54566,155823,152739,111830,82524,94766,75655,62105,121478,140283,58451,73643,65427,132744,153479,109017,78644,96914,63209,70734,88703,133186,56240,64650,75780,93130,128663,95854,69810,70404,54093,64018,64508,108205,40857,51583,57192,72299,90249,67929,49382,59748,41522,32558,67172,91341,34998,57802,41785,74194,96209,67356,54648,49330,55635,51348,62049
15-19 Years,45974,55645,56081,27928,33748,28350,64612,87362,52133,31588,40678,25960,22878,36964,43167,16801,21290,19359,29326,37336,22970,10944,8110,2100,1056,1142,2646,776,801,1111,1277,956,343,342,672,909,423,586,893,411,507,312,553,641,233,18,13,4159,17269,63286,79876,42490,52888,32116,76998,102231,71449,43831,43698,38424,40839,59041,70939,42538,45341,30000,75601,96938,71372,43416,38602,39771,44122,50016,72122,38333,41561,28441,70806,94150,63690,40469,41091,32638,33139,55632,68362,33171,36372,26635,67356,93056,52419,38269,33387,35815,38027,51593,70185,32077,35151,26068,64984,86622,50513,35165,32748,32562,35267,47226,67350,29693,38128,24123,58666,73859,52373,35068,35496,31314,34139,53487,68895,34066,37485,24547,72410,75622,50131,37239,32431,37010,37086,45862,63515,35396,31440,23074,64926,70137,48265,33576,34900,31447,29095,48926,60591,29905,33370,26520,54015,68919,44949,32301,34485,26769,30195,38282,55429,27260,26936,28618,44605,57065,38945,28673,26416,23263,26685,28575,47016,21660,23023,23029,32554,43909,29648,19041,22315,19862,17887,31846,46368,25954,31181,19413,34974,48543,32644,22357,19998,23576,23820,32399
20-24 Years,87869,97786,77502,60792,61067,76408,99781,106091,78138,68402,62125,59341,65498,67248,65231,51327,51624,59783,66314,66276,42754,28871,18761,8833,5307,6139,10489,3736,2289,1547,2444,4360,920,1585,2748,2840,1885,3055,3349,1161,1538,1204,1546,800,139,41,24,21276,59710,110621,110732,90550,87326,104935,129418,134811,106258,85956,83078,86146,96595,106986,102776,84627,83504,100917,126185,129865,105056,86281,79114,92967,98803,106183,102656,83729,82868,95416,121838,125434,100600,84214,82805,90847,97903,100621,104051,77853,77843,86706,118869,127175,90968,86320,74862,86912,94991,105460,99027,75163,77497,85772,116219,120068,85015,80471,68571,75694,83588,91577,97897,73071,76597,84021,109775,112592,86220,81960,73347,80844,91093,97818,99581,77197,78004,89118,117354,110234,89065,79717,70791,84020,87694,96847,100716,80536,76866,81004,103976,99793,81911,74951,69814,75010,85617,84079,92406,68325,70497,77793,92871,98949,73709,66713,63711,66747,69573,74506,83600,63027,63602,69641,79045,84146,65082,61959,55605,60207,61865,65892,76892,57218,56676,62629,70810,74385,57829,50387,48774,51922,54288,56822,75030,54097,58077,61250,72037,79156,63928,57002,51674,61040,60680,64999
25-34 Years,294410,302584,245954,248015,264989,287268,270916,260823,238080,265087,244148,232638,221643,200425,200412,210690,212843,215319,187932,169853,128450,108939,77804,36225,20650,19112,30989,14363,7960,5273,3950,4077,2722,4473,9229,9570,6698,8172,7739,4656,4452,2897,2325,1643,514,172,157,64271,174489,331431,345625,348981,350584,367724,364099,352274,325457,326172,346576,330417,312335,319405,322781,321490,341227,361136,353258,339958,321577,326377,338474,338232,306641,317626,319346,316267,328261,329626,328969,319087,288603,310651,330739,324707,288751,297053,313234,285919,292624,293739,312629,317890,276013,309987,308215,303432,286860,293333,296466,282137,303947,295176,315165,305004,265036,292179,275269,272083,251059,270410,288004,277952,294361,288578,303440,288800,265077,297250,286384,298016,278601,289937,296588,280643,288614,303924,318155,292653,287684,295530,283439,296175,269516,288056,294474,283180,286080,276761,287528,272198,257695,267939,271710,281338,266657,258475,268262,248649,256463,264880,262087,268765,242729,245391,245797,242407,224307,234491,240016,225533,233885,230205,225989,230664,210797,224168,215334,210247,191112,207351,213822,198024,206237,200133,200101,196127,174049,178883,176697,178191,161808,172572,203587,185178,202118,194776,203437,206152,193851,199571,194517,207814,186124,200758
35-44 Years,286242,285596,243613,228689,242387,240842,273623,289963,236955,243768,238924,213331,195224,184848,187200,180148,175720,168721,148400,146720,114453,90507,65000,29183,16007,12965,19988,10334,5732,4673,3143,3411,2311,3448,6448,7021,4617,5396,5361,3869,3246,2200,1893,1434,496,264,233,45909,132549,328423,319777,309427,306599,295810,371391,376777,311988,305576,320037,296244,294017,317234,302001,280113,298422,284571,363124,364322,313360,309264,316965,303897,298047,306187,291368,267867,283769,267118,335523,340854,276543,285369,296832,279625,270304,295192,285021,250135,255349,234061,322644,338811,260660,286032,284831,275429,270470,276822,267789,244642,258373,235165,315810,320949,248726,260609,255878,246968,244750,250470,267324,245750,257139,236138,297033,299358,257449,267572,272028,267508,260314,280977,271033,250374,257748,245712,317944,305558,275829,273555,264480,275235,256443,269001,271216,254487,254893,228160,281581,276377,248372,250535,254828,257527,239285,254054,247029,226331,235857,224223,258266,276060,238199,237352,239910,227915,215119,229438,231190,213696,218466,204048,220936,235538,211982,215732,209375,200928,183764,193140,195561,180012,185544,172805,185955,189019,166539,161860,167238,166112,148619,165525,179469,171094,187458,169643,192567,201967,185065,192780,192085,199868,181599,197797
45-54 Years,213145,216583,188785,179551,179280,181949,208850,226377,176276,178420,174794,161958,150978,143897,136410,137778,129825,123753,110418,112285,83636,65094,44074,16796,9279,5978,8336,4471,2831,2692,1923,2351,1581,1965,3007,3366,1940,2545,2500,2126,1617,1297,1067,858,341,230,168,35635,113483,263025,267469,267189,252764,245379,269323,284344,249441,248911,259876,260209,236913,260286,255941,243349,248736,239218,264785,278326,249212,252252,260386,267238,238626,258347,253204,251553,238073,230178,249113,265205,229079,234890,247084,252748,235237,244433,249796,228036,216682,202093,241157,257986,213720,239032,243165,246542,226016,237698,230968,215370,216518,196220,230600,238312,199935,208367,208358,210969,193777,213928,218257,207798,204555,191424,221152,222629,196756,205276,211420,227701,215952,224158,219490,213621,210199,209160,238947,233258,221595,226085,225866,242220,211044,226599,224531,220602,214893,189326,217901,217616,200776,203971,212631,222706,204761,205189,200570,188282,198856,185561,197846,216850,186784,190996,196726,193280,177824,186833,189657,180168,180431,169830,175718,190028,165639,171445,171377,170120,151853,166527,162269,155438,155462,142636,150044,153932,131257,129766,142192,143657,126074,134330,146325,141820,154123,131646,148752,157975,144582,153796,157544,166022,147720,161366
